Wall time,Step,Value
1658968985.3857164,49152,886.5
1658969099.852406,98304,1502.1500244140625
1658969157.50246,122880,1689.9599609375
1658969176.5728722,131072,1811.2049560546875
1658969233.9415064,155648,1602.06494140625
1658969347.4318545,204800,1753.8599853515625
1658969575.656731,303104,1342.7650146484375
1658969651.997657,335872,1249.97998046875
1658969689.786468,352256,1458.3599853515625
1658969727.7420263,368640,1493.6099853515625
1658969746.690474,376832,1604.155029296875
1658969784.5539002,393216,1770.5350341796875
1658969898.5099216,442368,1452.3399658203125
1658969917.5120077,450560,1282.364990234375
1658969936.5130496,458752,1270.800048828125
1658969955.4627364,466944,1267.56005859375
1658970127.4171817,540672,1272.9599609375
1658970184.4705877,565248,1273.0
1658970241.5789897,589824,1273.0
1658970260.5509458,598016,1273.0
1658970279.6517792,606208,1273.0
1658970298.6828854,614400,1273.0
1658970393.7464197,655360,1311.469970703125
1658970545.8288374,720896,1828.7349853515625
1658970564.7944224,729088,2043.885009765625
1658970678.9138615,778240,2116.655029296875
1658970830.9759815,843776,2986.27001953125
1658970887.9745057,868352,2447.0048828125
1658970906.9646072,876544,2428.485107421875
1658971039.76322,933888,2199.85009765625
1658971134.4351852,974848,2463.860107421875
1658971286.2096012,1040384,3200.10498046875
1658971343.0459285,1064960,3169.080078125
1658971362.0821788,1073152,3175.27001953125
1658971532.2258513,1146880,3640.760009765625
1658971570.0610797,1163264,3771.030029296875
1658971588.9394383,1171456,3716.830078125
1658971607.878352,1179648,3697.580078125
1658971740.4666784,1236992,451.9200134277344
1658971835.240344,1277952,487.260009765625
1658971873.1026688,1294336,463.7900085449219
1658971892.38414,1302528,485.510009765625
1658971967.4232693,1335296,1323.5
1658972061.3888512,1376256,2887.110107421875
1658972080.1353474,1384448,3135.090087890625
1658972136.3079464,1409024,3830.8701171875
1658972248.8620722,1458176,3111.090087890625
1658972267.5891728,1466368,3163.72509765625
1658972305.1878743,1482752,3279.919921875
1658972361.3379014,1507328,3372.655029296875
1658972398.9494793,1523712,3177.510009765625
1658972417.64317,1531904,2542.47998046875
1658972455.432825,1548288,1647.5899658203125
1658972493.213849,1564672,2131.25
1658972512.2709281,1572864,2401.3701171875
1658972645.7468748,1630208,4290.419921875
1658972799.4587846,1695744,2193.6201171875
1658972818.3070118,1703936,2337.169921875
1658972837.0928078,1712128,2458.590087890625
1658972912.2764869,1744896,3055.594970703125
1658973099.873359,1826816,3342.25
1658973118.565568,1835008,2533.22998046875
1658973156.089003,1851392,1785.280029296875
1658973231.2380922,1884160,2913.090087890625
1658973287.5555406,1908736,2518.2099609375
1658973306.365978,1916928,1942.5999755859375
1658973325.0483475,1925120,2273.510009765625
1658973381.585137,1949696,2900.89990234375
1658973606.7510803,2048000,3701.14990234375
1658973719.7372372,2097152,4101.2998046875
1658973775.6302779,2121728,4508.9599609375
1658973812.9646564,2138112,4481.06005859375
1658973831.5899491,2146304,3924.590087890625
1658973868.7912781,2162688,3747.080078125
1658973943.4187195,2195456,3129.2900390625
1658974018.093493,2228224,3119.7099609375
1658974055.2856412,2244608,3131.280029296875
1658974148.654422,2285568,1307.0
1658974409.950727,2400256,1307.0
1658974503.3718402,2441216,1307.0
1658974521.982377,2449408,1307.0
1658974597.1512105,2482176,1307.0
1658974614.9150498,2490368,1307.0
1658974686.291566,2523136,1307.0
1658974704.1569953,2531328,1307.0
1658974739.8092253,2547712,1307.0
1658974793.4049323,2572288,1307.0
1658974882.4925447,2613248,1307.0
1658974900.3088722,2621440,1307.0
1658974919.0138936,2629632,1307.0
1658975010.9786415,2670592,1307.0
1658975029.4145308,2678784,1307.0
1658975047.8327425,2686976,1307.0
1658975102.9608061,2711552,1307.0
1658975268.139695,2785280,1307.0
1658975304.782872,2801664,1307.0
1658975414.9355218,2850816,1358.3699951171875
1658975525.345308,2899968,1572.56005859375
1658975543.83506,2908160,1585.02001953125
1658975654.4316745,2957312,1593.72998046875
1658975709.6482778,2981888,1609.989990234375
1658975783.4574149,3014656,1333.68994140625
1658975857.300537,3047424,1307.0
1658975894.348821,3063808,1307.0
1658975967.953206,3096576,1307.0
1658975986.3686712,3104768,1307.0
1658976004.8757014,3112960,1307.0
1658976041.8485074,3129344,1307.0
1658976134.2842762,3170304,1307.0
1658976226.3841407,3211264,1307.0
1658976244.864944,3219456,1307.0
1658976540.2595782,3350528,1307.0
1658976669.3253946,3407872,1307.0
1658976779.749751,3457024,1273.8199462890625
1658976798.0814137,3465216,1273.8199462890625
1658976834.8115916,3481600,1273.8199462890625
1658976871.4294674,3497984,1254.5
1658976944.8850942,3530752,838.9600219726562
1658977111.461011,3604480,2941.590087890625
1658977148.5456457,3620864,3491.10009765625
1658977167.0769994,3629056,3727.639892578125
1658977222.8152478,3653632,3414.449951171875
1658977334.295414,3702784,3814.419921875
1658977481.840848,3768320,3448.419921875
1658977500.2876108,3776512,3186.340087890625
1658977555.3953986,3801088,3012.27001953125
1658977573.7480626,3809280,2879.72998046875
1658977739.325878,3883008,1527.5999755859375
1658977757.8226154,3891200,1491.1800537109375
1658977960.642877,3981312,652.1400146484375
1658978016.2381632,4005888,634.02001953125
1658978034.684183,4014080,633.489990234375
1658978071.7327876,4030464,599.6400146484375
1658978108.826214,4046848,594.8400268554688
1658978368.0625176,4161536,459.7099914550781
1658978460.8646436,4202496,418.3999938964844
1658978497.850362,4218880,417.1099853515625
1658978553.2599528,4243456,402.8299865722656
1658978590.063991,4259840,376.2799987792969
1658978681.8875391,4300800,343.0199890136719
1658978700.3361795,4308992,337.20001220703125
1658978810.8332834,4358144,301.1300048828125
1658978847.7679589,4374528,288.3599853515625
1658978866.2554402,4382720,287.6099853515625
1658978903.311491,4399104,282.8599853515625
1658978921.887729,4407296,278.8900146484375
1658978977.2238755,4431872,220.27999877929688
1658979014.0852785,4448256,401.1400146484375
1658979106.4850683,4489216,1301.1600341796875
1658979125.1804867,4497408,1503.4200439453125
